章,カット#,秒,累計時間,映像種別,映像内容,ナレーション・テキスト,BGM / SE
第二章：青春期,22,12,4:58,📷実写写真,結婚式の写真（昭和41年）。誠一と妻が並んでいる,「昭和四十一年に結婚しました。二十八歳でした。」,幸せな穏やかなBGM
第二章：青春期,23,8,5:06,📝テキスト,年表カード「1966年　28歳　結婚」,（なし）,BGM展開
第二章：青春期,24,6,5:12,📝テキスト,章タイトル「第三章　家庭・子育て・暮らし」,（なし）,温かく家庭的なBGMに転換
第三章：家庭,25,16,5:28,📷実写写真,40代の誠一と妻・幼い子ども2人の家族写真。食卓を囲んでいる,「子どもが生まれると、家の中が急に明るくなりました。ご飯を食べていても、うるさくて、にぎやかで。それが楽しかった。」,明るく温かいBGM
第三章：家庭,26,14,5:42,📷実写写真,家族旅行の写真（複数スライド）。子どもたちが少し成長している。みんな笑顔,「毎年夏は家族で旅行に行きました。たいしたところには行けなかったけど、子どもたちは毎回大はしゃぎで。」,明るいBGM
第三章：家庭,27,14,5:56,📷実写写真,職場の写真（50代の誠一）。工場長として同僚たちと並んでいる,「三十代のころに工場長を任されました。責任は重かったけど、みんなをまとめるのが、だんだん好きになっていきました。」,力強いBGM
第三章：家庭,28,10,6:06,📷実写写真,地域の祭りの写真。定年後の誠一が世話役として前に立っている,「定年後は、地域の祭りの世話役を引き受けました。父がそうしていたように、私もそうしたかった。」,地域の祭りを感じるBGM
第三章：家庭,29,6,6:12,📝テキスト,章タイトル「第四章　趣味・大切にしてきたこと」,（なし）,のんびりとしたBGMに転換
第四章：趣味,30,18,6:30,📷実写写真,家庭菜園の写真（現在）。土を触る誠一の手元。野菜が育っている,「退職してから、家庭菜園を始めました。父が言っていた『土は裏切らん』という言葉の意味が、ようやくわかった気がします。種を蒔いて、水をやって、毎日見ていると、ちゃんと育ってくれる。人間もそうかもしれないと思います。」,落ち着いたBGM
第四章：趣味,31,12,6:42,📷実写写真,将棋の写真。縁側か公民館。相手と向き合っている誠一,「将棋も長い友人です。勝っても負けても、盤の前ではみんな対等で。それがいい。」,静かなBGM
第四章：趣味,32,16,6:58,📷実写写真,夕暮れの田んぼの写真（現在）。金色の稲穂。誠一の後ろ姿,「大切にしてきたことと言われれば、特別なことは何もない。ただ、目の前のことを、一生懸命やってきただけです。」,しみじみとしたBGM
第四章：趣味,33,6,7:04,📝テキスト,章タイトル「終章　いま、家族へ」,（なし）,穏やかなエンドBGM始まる
終章：家族へ,34,16,7:20,📷実写写真,家族集合写真（最新）。誠一と妻・子ども夫婦・孫たち全員。笑顔,「子どもが2人、孫が5人、ひ孫が2人いる。こんなに増えるとは思いませんでしたよ。」,温かくゆったりとしたBGM
終章：家族へ,35,14,7:34,📷実写写真,孫・ひ孫の写真（スライド）。子どもたちの笑顔,「子どもたちには、健康でいてくれたらそれでいい。幸せとは、そういうものだと思っています。」,継続
終章：家族へ,36,18,7:52,📝テキスト,家族メッセージテキスト。家族写真を背景に1人ずつフェードイン「お父さん、いつも見守ってくれてありがとう。——長男・健二」,（なし）,感情的なBGM
終章：家族へ,37,14,8:06,🎬現在写真,現在の誠一の笑顔（近影）。アップ。目元に年輪,「まだまだ、終わっていないよ。」,BGM 静かな盛り上がり
終章：家族へ,38,10,8:16,📝テキスト,フェードアウト。黒画面に白テキスト「荒木誠一　人生譜」「昭和十三年生まれ　八十七歳」,（なし）,BGMフェードアウト
